"173";"252942070 ticks";"252942070 ticks"
"174";"242948906 ticks";"242948906 ticks"
"175";"255130330 ticks";"255130330 ticks"
"176";"241187512 ticks";"241187512 ticks"
"177";"248522704 ticks";"248522704 ticks"
"178";"248459490 ticks";"248459490 ticks"
"179";"243405732 ticks";"243405732 ticks"
"180";"246566708 ticks";"246566708 ticks"
"181";"231022770 ticks";"231022770 ticks"
"182";"240406466 ticks";"240406466 ticks"
"183";"232392592 ticks";"232392592 ticks"
"184";"249278062 ticks";"249278062 ticks"
"185";"234508268 ticks";"234508268 ticks"
"186";"239542864 ticks";"239542864 ticks"
"187";"231701222 ticks";"231701222 ticks"
"188";"234384972 ticks";"234384972 ticks"
"189";"232493614 ticks";"232493614 ticks"
"190";"239046194 ticks";"239046194 ticks"
"191";"228849234 ticks";"228849234 ticks"
"192";"231423698 ticks";"231423698 ticks"
"193";"231474774 ticks";"231474774 ticks"
"194";"236177740 ticks";"236177740 ticks"
"195";"230240892 ticks";"230240892 ticks"
"196";"238812886 ticks";"238812886 ticks"
"197";"232099570 ticks";"232099570 ticks"
"198";"240431234 ticks";"240431234 ticks"
"199";"228499006 ticks";"228499006 ticks"
"200";"246004552 ticks";"246004552 ticks"
"201";"242842210 ticks";"242842210 ticks"
"202";"253076958 ticks";"253076958 ticks"
"203";"236749408 ticks";"236749408 ticks"
"204";"247361902 ticks";"247361902 ticks"
"205";"242495158 ticks";"242495158 ticks"
"206";"250828354 ticks";"250828354 ticks"
"207";"241057576 ticks";"241057576 ticks"
"208";"238530316 ticks";"238530316 ticks"
"209";"247835780 ticks";"247835780 ticks"
"210";"241616890 ticks";"241616890 ticks"
"211";"253942606 ticks";"253942606 ticks"
"212";"237919924 ticks";"237919924 ticks"
"213";"247215280 ticks";"247215280 ticks"
"214";"238913354 ticks";"238913354 ticks"
"215";"237333926 ticks";"237333926 ticks"
"216";"254924624 ticks";"254924624 ticks"
"217";"240413182 ticks";"240413182 ticks"
"218";"251070480 ticks";"251070480 ticks"
"219";"234114826 ticks";"234114826 ticks"
"220";"260732104 ticks";"260732104 ticks"
"221";"250692516 ticks";"250692516 ticks"
"222";"248235104 ticks";"248235104 ticks"
"223";"234444292 ticks";"234444292 ticks"
"224";"233297962 ticks";"233297962 ticks"
"225";"236356040 ticks";"236356040 ticks"
"226";"250948462 ticks";"250948462 ticks"
"227";"236670112 ticks";"236670112 ticks"
"228";"232527754 ticks";"232527754 ticks"
"229";"237058376 ticks";"237058376 ticks"
"230";"231912192 ticks";"231912192 ticks"
"231";"239238690 ticks";"239238690 ticks"
"232";"231995296 ticks";"231995296 ticks"
"233";"231818076 ticks";"231818076 ticks"
"234";"231089500 ticks";"231089500 ticks"
"235";"231069284 ticks";"231069284 ticks"
"236";"233727732 ticks";"233727732 ticks"
"237";"233690698 ticks";"233690698 ticks"
"238";"229565734 ticks";"229565734 ticks"
"239";"230365290 ticks";"230365290 ticks"
"240";"232424646 ticks";"232424646 ticks"
"241";"229156906 ticks";"229156906 ticks"
"242";"233928664 ticks";"233928664 ticks"
"243";"232697054 ticks";"232697054 ticks"
"244";"236911056 ticks";"236911056 ticks"
"245";"242185840 ticks";"242185840 ticks"
"246";"233480252 ticks";"233480252 ticks"
"247";"235619534 ticks";"235619534 ticks"
"248";"233713660 ticks";"233713660 ticks"
"249";"233026092 ticks";"233026092 ticks"
"250";"253892710 ticks";"253892710 ticks"
"251";"242977322 ticks";"242977322 ticks"
"252";"240095550 ticks";"240095550 ticks"
"253";"251475728 ticks";"251475728 ticks"
"254";"255388700 ticks";"255388700 ticks"
"255";"255805446 ticks";"255805446 ticks"
"256";"266692616 ticks";"266692616 ticks"
"257";"268885530 ticks";"268885530 ticks"
"258";"235697588 ticks";"235697588 ticks"
"259";"248774314 ticks";"248774314 ticks"
"260";"291741030 ticks";"291741030 ticks"
"261";"241496772 ticks";"241496772 ticks"
"262";"230571584 ticks";"230571584 ticks"
"263";"236508496 ticks";"236508496 ticks"
"264";"235564214 ticks";"235564214 ticks"
"265";"231934544 ticks";"231934544 ticks"
"266";"230074536 ticks";"230074536 ticks"
"267";"232348578 ticks";"232348578 ticks"
"268";"236055754 ticks";"236055754 ticks"
"269";"225524736 ticks";"225524736 ticks"
"270";"230607206 ticks";"230607206 ticks"
"271";"233969150 ticks";"233969150 ticks"
"272";"232850120 ticks";"232850120 ticks"
"273";"235247144 ticks";"235247144 ticks"
"274";"237553146 ticks";"237553146 ticks"
"275";"232623860 ticks";"232623860 ticks"
"276";"233996260 ticks";"233996260 ticks"
"277";"231974464 ticks";"231974464 ticks"
"278";"232195500 ticks";"232195500 ticks"
"279";"234970602 ticks";"234970602 ticks"
"280";"236825546 ticks";"236825546 ticks"
"281";"231892930 ticks";"231892930 ticks"
"282";"230772982 ticks";"230772982 ticks"
"283";"232179118 ticks";"232179118 ticks"
"284";"233442516 ticks";"233442516 ticks"
"285";"238104094 ticks";"238104094 ticks"
"286";"232869570 ticks";"232869570 ticks"
"287";"238806732 ticks";"238806732 ticks"
"288";"242208384 ticks";"242208384 ticks"
"289";"247779420 ticks";"247779420 ticks"
"290";"242228998 ticks";"242228998 ticks"
"291";"241192278 ticks";"241192278 ticks"
"292";"233702114 ticks";"233702114 ticks"
"293";"233046748 ticks";"233046748 ticks"
"294";"229213196 ticks";"229213196 ticks"
"295";"247880818 ticks";"247880818 ticks"
"296";"232507694 ticks";"232507694 ticks"
"297";"232126714 ticks";"232126714 ticks"
"298";"231541136 ticks";"231541136 ticks"
"299";"261547766 ticks";"261547766 ticks"
"300";"246483260 ticks";"246483260 ticks"
"301";"254853172 ticks";"254853172 ticks"
"302";"241914416 ticks";"241914416 ticks"
"303";"232234518 ticks";"232234518 ticks"
"304";"241310408 ticks";"241310408 ticks"
"305";"251485136 ticks";"251485136 ticks"
"306";"247489274 ticks";"247489274 ticks"
